# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.28952601552009582520 -0.00426278216764330864 1.00046634674072265625 -1.20134460926055908203 -0.12725399434566497803 0.29230862855911254883 -1.20049941539764404297 -0.12786726653575897217 0.00019274308579042554
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.60000002384185791016 116.00000000000000000000 0.28562462329864501953 -0.00344751891680061817 1.00046086311340332031 -1.18164694309234619141 -0.12342558801174163818 0.29221174120903015137 -1.20026361942291259766 -0.12784697115421295166 -0.00040741296834312379
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.62500000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.62500000000000000000 116.00000000000000000000 0.28556811809539794922 -0.00317736994475126266 1.00046169757843017578 -1.17890512943267822266 -0.12300974130630493164 0.29226848483085632324 -1.20010495185852050781 -0.12787233293056488037 -0.00033751479350030422
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.64999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.64999997615814208984 116.00000000000000000000 0.28594216704368591309 -0.00294405058957636356 1.00046277046203613281 -1.17736399173736572266 -0.12287219613790512085 0.29223400354385375977 -1.20018017292022705078 -0.12782897055149078369 -0.00018084871408063918
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.67500001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.67500001192092895508 116.00000000000000000000 0.28668832778930664062 -0.00277836783789098263 1.00046741962432861328 -1.17704701423645019531 -0.12300316989421844482 0.29224881529808044434 -1.19979178905487060547 -0.12782849371433258057 0.00004191495463601314
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.69999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.69999998807907104492 116.00000000000000000000 0.28780478239059448242 -0.00269481190480291843 1.00046312808990478516 -1.17797791957855224609 -0.12340164929628372192 0.29221215844154357910 -1.20016872882843017578 -0.12785743176937103271 0.00029776440351270139
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.72500002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.72500002384185791016 116.00000000000000000000 0.28920504450798034668 -0.00269514881074428558 1.00046336650848388672 -1.18012642860412597656 -0.12405324727296829224 0.29230120778083801270 -1.20019531250000000000 -0.12784226238727569580 0.00056298356503248215
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.75000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.75000000000000000000 116.00000000000000000000 0.29082670807838439941 -0.00277744000777602196 1.00046527385711669922 -1.18332171440124511719 -0.12491711974143981934 0.29225406050682067871 -1.20006954669952392578 -0.12783832848072052002 0.00080136477481573820
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.77499997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.77499997615814208984 116.00000000000000000000 0.29257243871688842773 -0.00292133237235248089 1.00046551227569580078 -1.18743419647216796875 -0.12594804167747497559 0.29223728179931640625 -1.20039844512939453125 -0.12784059345722198486 0.00099073804449290037
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.80000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.80000001192092895508 116.00000000000000000000 0.29433709383010864258 -0.00310346041806042194 1.00046145915985107422 -1.19224238395690917969 -0.12710329890251159668 0.29223743081092834473 -1.20006346702575683594 -0.12784913182258605957 0.00111804902553558350
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.82499998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.82499998807907104492 116.00000000000000000000 0.29599553346633911133 -0.00329828285612165928 1.00046384334564208984 -1.19746720790863037109 -0.12830924987792968750 0.29224374890327453613 -1.20040380954742431641 -0.12784576416015625000 0.00117160275112837553
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.85000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.85000002384185791016 116.00000000000000000000 0.29745486378669738770 -0.00348092312924563885 1.00046563148498535156 -1.20283305644989013672 -0.12950678169727325439 0.29225361347198486328 -1.20013892650604248047 -0.12783904373645782471 0.00116124027408659458
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.87500000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.29859676957130432129 -0.00362321780994534492 1.00046575069427490234 -1.20799863338470458984 -0.13060945272445678711 0.29226315021514892578 -1.20018243789672851562 -0.12784549593925476074 0.00109449611045420170
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.89999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.89999997615814208984 116.00000000000000000000 0.29930409789085388184 -0.00371601968072354794 1.00046622753143310547 -1.21265161037445068359 -0.13155241310596466064 0.29222786426544189453 -1.20028603076934814453 -0.12785010039806365967 0.00099660514388233423
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.92500001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.92500001192092895508 116.00000000000000000000 0.29952725768089294434 -0.00375377410091459751 1.00046503543853759766 -1.21652662754058837891 -0.13228237628936767578 0.29228407144546508789 -1.20014464855194091797 -0.12784725427627563477 0.00089034566190093756
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.94999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.94999998807907104492 116.00000000000000000000 0.29925057291984558105 -0.00373994326218962669 1.00046288967132568359 -1.21937513351440429688 -0.13274328410625457764 0.29227331280708312988 -1.20032632350921630859 -0.12786008417606353760 0.00079771247692406178
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.97500002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.97500002384185791016 116.00000000000000000000 0.29849529266357421875 -0.00368550303392112255 1.00046181678771972656 -1.22101092338562011719 -0.13289171457290649414 0.29224115610122680664 -1.20005953311920166016 -0.12784856557846069336 0.00073970627272501588
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.00000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.00000000000000000000 116.00000000000000000000 0.29729944467544555664 -0.00361237255856394768 1.00046682357788085938 -1.22135496139526367188 -0.13271369040012359619 0.29227620363235473633 -1.20036017894744873047 -0.12783627212047576904 0.00072841899236664176
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.02499997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.02499997615814208984 116.00000000000000000000 0.29575982689857482910 -0.00354775134474039078 1.00046229362487792969 -1.22041523456573486328 -0.13223062455654144287 0.29227423667907714844 -1.20023596286773681641 -0.12784031033515930176 0.00076099578291177750
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.04999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.04999995231628417969 116.00000000000000000000 0.29399594664573669434 -0.00351254898123443127 1.00046300888061523438 -1.21828234195709228516 -0.13147333264350891113 0.29227149486541748047 -1.20026159286499023438 -0.12784837186336517334 0.00082292954903095961
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.07500004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.07500004768371582031 116.00000000000000000000 0.29213264584541320801 -0.00352033972740173340 1.00046384334564208984 -1.21511316299438476562 -0.13048999011516571045 0.29226729273796081543 -1.20020246505737304688 -0.12784811854362487793 0.00084479403449222445
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.10000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.10000002384185791016 116.00000000000000000000 0.29030504822731018066 -0.00352979055605828762 1.00046515464782714844 -1.21113717555999755859 -0.12935258448123931885 0.29226642847061157227 -1.20028996467590332031 -0.12783907353878021240 0.00086286000441759825
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.12500000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.12500000000000000000 116.00000000000000000000 0.28862288594245910645 -0.00353922764770686626 1.00046420097351074219 -1.20662963390350341797 -0.12814258038997650146 0.29225265979766845703 -1.20014619827270507812 -0.12784506380558013916 0.00088601105380803347
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.14999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.14999997615814208984 116.00000000000000000000 0.28718656301498413086 -0.00354762654751539230 1.00046336650848388672 -1.20187294483184814453 -0.12693315744400024414 0.29224091768264770508 -1.20026886463165283203 -0.12784132361412048340 0.00090462656226009130
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.17499995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.17499995231628417969 116.00000000000000000000 0.28607895970344543457 -0.00355706363916397095 1.00046193599700927734 -1.19715154170989990234 -0.12580226361751556396 0.29225373268127441406 -1.20021986961364746094 -0.12784442305564880371 0.00092661456437781453
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.20000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.20000004768371582031 116.00000000000000000000 0.28535181283950805664 -0.00356861762702465057 1.00046205520629882812 -1.19272947311401367188 -0.12481124699115753174 0.29225176572799682617 -1.20019221305847167969 -0.12783730030059814453 0.00094936386449262500
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.22500002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.22500002384185791016 116.00000000000000000000 0.28503933548927307129 -0.00357834063470363617 1.00046074390411376953 -1.18883752822875976562 -0.12400937825441360474 0.29230403900146484375 -1.20025026798248291016 -0.12784107029438018799 0.00097091461066156626
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.25000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.28515768051147460938 -0.00358653557486832142 1.00046086311340332031 -1.18567466735839843750 -0.12343629449605941772 0.29227006435394287109 -1.20020282268524169922 -0.12783166766166687012 0.00099304039031267166
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=1.27499997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
