# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.50000000000000000000 1.15999996662139892578 0.53811800479888916016 -0.00225165765732526779 0.99985003471374511719 -2.21552586555480957031 0.05160224437713623047 0.53806531429290771484 -2.20503997802734375000 0.05065478757023811340 -0.00061939150327816606
8.19999980926513671875 0.10000000149011611938 1.20000004768371582031 1.15999996662139892578 0.53756928443908691406 -0.00171015399973839521 0.99984002113342285156 -2.21495103836059570312 0.05099222809076309204 0.53836470842361450195 -2.21000981330871582031 0.05060245096683502197 -0.00134209683164954185
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.25000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.25000000000000000000 1.15999996662139892578 0.53590220212936401367 -0.00164943654090166092 0.99984157085418701172 -2.21107578277587890625 0.04965822771191596985 0.53838723897933959961 -2.20955467224121093750 0.05059202387928962708 -0.00138609739951789379
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.29999995231628417969 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.29999995231628417969 1.15999996662139892578 0.53446513414382934570 -0.00159010197967290878 0.99984651803970336914 -2.20664358139038085938 0.04861604422330856323 0.53838258981704711914 -2.20915889739990234375 0.05059516057372093201 -0.00142515148036181927
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.35000002384185791016 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.35000002384185791016 1.15999996662139892578 0.53404653072357177734 -0.00152034871280193329 0.99982649087905883789 -2.20272278785705566406 0.04802540689706802368 0.53833967447280883789 -2.20919895172119140625 0.05059018358588218689 -0.00146035302896052599
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.39999997615814208984 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.39999997615814208984 1.15999996662139892578 0.53475612401962280273 -0.00145076692570000887 0.99980908632278442383 -2.20036602020263671875 0.04790968820452690125 0.53849959373474121094 -2.20960545539855957031 0.05057726800441741943 -0.00149437144864350557
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.45000004768371582031 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.45000004768371582031 1.15999996662139892578 0.53621065616607666016 -0.00137783132959157228 0.99980980157852172852 -2.20002555847167968750 0.04820866882801055908 0.53848171234130859375 -2.20906257629394531250 0.05057556182146072388 -0.00152565387543290854
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.50000000000000000000 1.15999996662139892578 0.53803652524948120117 -0.00130491738673299551 0.99981713294982910156 -2.20154476165771484375 0.04876854643225669861 0.53833013772964477539 -2.20891928672790527344 0.05057388171553611755 -0.00154976907651871443
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.54999995231628417969 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.54999995231628417969 1.15999996662139892578 0.54038381576538085938 -0.00118937238585203886 1.00045061111450195312 -2.20647835731506347656 0.04950781911611557007 0.53853750228881835938 -2.21152138710021972656 0.05059043318033218384 -0.00156175543088465929
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.60000002384185791016 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.60000002384185791016 1.15999996662139892578 0.54240781068801879883 -0.00110474938992410898 1.00045192241668701172 -2.21090149879455566406 0.05045871809124946594 0.53865247964859008789 -2.21169304847717285156 0.05058633163571357727 -0.00157818081788718700
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.64999997615814208984 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.64999997615814208984 1.15999996662139892578 0.54287362098693847656 -0.00101824745070189238 1.00045621395111083984 -2.21522331237792968750 0.05139497667551040649 0.53865784406661987305 -2.21185088157653808594 0.05058180540800094604 -0.00159140571486204863
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.70000004768371582031 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.70000004768371582031 1.15999996662139892578 0.54204756021499633789 -0.00092265050625428557 1.00045764446258544922 -2.21803045272827148438 0.05195680260658264160 0.53867232799530029297 -2.21222710609436035156 0.05057771876454353333 -0.00158708193339407444
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.75000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.75000000000000000000 1.15999996662139892578 0.54078602790832519531 -0.00082617165753617883 1.00045800209045410156 -2.21901035308837890625 0.05207250267267227173 0.53866493701934814453 -2.21211171150207519531 0.05057539418339729309 -0.00158692873083055019
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.79999995231628417969 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.79999995231628417969 1.15999996662139892578 0.53950095176696777344 -0.00072711566463112831 1.00045561790466308594 -2.21852350234985351562 0.05179732292890548706 0.53866934776306152344 -2.21195197105407714844 0.05057154968380928040 -0.00156914081890136003
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.85000002384185791016 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.85000002384185791016 1.15999996662139892578 0.53827697038650512695 -0.00062592700123786926 1.00045502185821533203 -2.21704626083374023438 0.05125157535076141357 0.53868740797042846680 -2.21182775497436523438 0.05056793242692947388 -0.00154080672655254602
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.89999997615814208984 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.89999997615814208984 1.15999996662139892578 0.53747981786727905273 -0.00053755921544507146 1.00045251846313476562 -2.21509242057800292969 0.05057525262236595154 0.53868216276168823242 -2.21224832534790039062 0.05056174471974372864 -0.00149978871922940016
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.95000004768371582031 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.95000004768371582031 1.15999996662139892578 0.53703063726425170898 -0.00044909492135047913 1.00045633316040039062 -2.21323704719543457031 0.04979139566421508789 0.53871494531631469727 -2.21233057975769042969 0.05055658146739006042 -0.00145423994399607182
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=2.00000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 2.00000000000000000000 1.15999996662139892578 0.53631436824798583984 -0.00035882359952665865 1.00045132637023925781 -2.21145391464233398438 0.04912048950791358948 0.53873908519744873047 -2.21237540245056152344 0.05055212229490280151 -0.00139130209572613239
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=2.04999995231628417969 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
