# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.52895438671112060547 -0.02472518943250179291 1.00045418739318847656 -2.25400066375732421875 -0.23802317678928375244 0.54214966297149658203 -2.22668290138244628906 -0.24047785997390747070 -0.00042663124622777104
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.60000002384185791016 116.00000000000000000000 0.49859502911567687988 -0.02354289963841438293 1.00045418739318847656 -2.11725330352783203125 -0.23583148419857025146 0.54225975275039672852 -2.22687458992004394531 -0.24044120311737060547 -0.00175549066625535488
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.62500000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.62500000000000000000 116.00000000000000000000 0.49650129675865173340 -0.02313328720629215240 1.00045645236968994141 -2.09451127052307128906 -0.23549933731555938721 0.54230529069900512695 -2.22670960426330566406 -0.24044537544250488281 -0.00167821359355002642
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.64999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.64999997615814208984 116.00000000000000000000 0.49694064259529113770 -0.02280412241816520691 1.00045335292816162109 -2.07866835594177246094 -0.23548758029937744141 0.54222279787063598633 -2.22682118415832519531 -0.24051256477832794189 -0.00144450902007520199
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.67500001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.67500001192092895508 116.00000000000000000000 0.49989807605743408203 -0.02260960265994071960 1.00045180320739746094 -2.07027721405029296875 -0.23586748540401458740 0.54236865043640136719 -2.22691440582275390625 -0.24044576287269592285 -0.00109783257357776165
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.69999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.69999998807907104492 116.00000000000000000000 0.50529354810714721680 -0.02257088012993335724 1.00045490264892578125 -2.06965398788452148438 -0.23666730523109436035 0.54235005378723144531 -2.22704577445983886719 -0.24053613841533660889 -0.00069320161128416657
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.72500002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.72500002384185791016 116.00000000000000000000 0.51302069425582885742 -0.02268842048943042755 1.00045454502105712891 -2.07681655883789062500 -0.23784518241882324219 0.54244226217269897461 -2.22747302055358886719 -0.24049511551856994629 -0.00028527554241009057
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.75000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.75000000000000000000 116.00000000000000000000 0.52286654710769653320 -0.02295294962823390961 1.00045335292816162109 -2.09160614013671875000 -0.23927539587020874023 0.54240906238555908203 -2.22749257087707519531 -0.24049346148967742920 0.00006887673225719482
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.77499997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.77499997615814208984 116.00000000000000000000 0.53445184230804443359 -0.02332498133182525635 1.00045680999755859375 -2.11363577842712402344 -0.24076648056507110596 0.54250252246856689453 -2.22778415679931640625 -0.24054962396621704102 0.00033551332307979465
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.80000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.80000001192092895508 116.00000000000000000000 0.54714906215667724609 -0.02377096191048622131 1.00045454502105712891 -2.14209747314453125000 -0.24209848046302795410 0.54262870550155639648 -2.22792744636535644531 -0.24055330455303192139 0.00049314927309751511
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.82499998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.82499998807907104492 116.00000000000000000000 0.56006968021392822266 -0.02424957789480686188 1.00045585632324218750 -2.17570829391479492188 -0.24309498071670532227 0.54266065359115600586 -2.22840738296508789062 -0.24054910242557525635 0.00052057305583730340
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.85000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.85000002384185791016 116.00000000000000000000 0.57221108675003051758 -0.02471986226737499237 1.00045335292816162109 -2.21269130706787109375 -0.24368563294410705566 0.54271477460861206055 -2.22884583473205566406 -0.24054124951362609863 0.00043014003313146532
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.87500000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.58261269330978393555 -0.02513444609940052032 1.00045490264892578125 -2.25080657005310058594 -0.24391005933284759521 0.54281365871429443359 -2.22896862030029296875 -0.24058189988136291504 0.00022658501984551549
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.89999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.89999997615814208984 116.00000000000000000000 0.59050333499908447266 -0.02546586282551288605 1.00045490264892578125 -2.28768086433410644531 -0.24386551976203918457 0.54285681247711181641 -2.22911643981933593750 -0.24057646095752716064 -0.00005142495501786470
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.92500001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.92500001192092895508 116.00000000000000000000 0.59528535604476928711 -0.02569717727601528168 1.00045382976531982422 -2.32099652290344238281 -0.24364192783832550049 0.54291838407516479492 -2.22935795783996582031 -0.24054089188575744629 -0.00036125327460467815
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.94999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.94999998807907104492 116.00000000000000000000 0.59657496213912963867 -0.02582568489015102386 1.00045549869537353516 -2.34870886802673339844 -0.24331557750701904297 0.54295122623443603516 -2.22958898544311523438 -0.24057076871395111084 -0.00065572303719818592
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.97500002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.97500002384185791016 116.00000000000000000000 0.59424084424972534180 -0.02587668225169181824 1.00045526027679443359 -2.36919879913330078125 -0.24294598400592803955 0.54299753904342651367 -2.22980332374572753906 -0.24056389927864074707 -0.00088729191338643432
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.00000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.00000000000000000000 116.00000000000000000000 0.58840709924697875977 -0.02589382231235504150 1.00045776367187500000 -2.38131380081176757812 -0.24255286157131195068 0.54296833276748657227 -2.23004579544067382812 -0.24053485691547393799 -0.00103370472788810730
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.02499997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.02499997615814208984 116.00000000000000000000 0.57945662736892700195 -0.02593393251299858093 1.00045490264892578125 -2.38442778587341308594 -0.24210552871227264404 0.54303759336471557617 -2.23004007339477539062 -0.24059423804283142090 -0.00110126368235796690
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.04999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.04999995231628417969 116.00000000000000000000 0.56799334287643432617 -0.02603823691606521606 1.00045478343963623047 -2.37842869758605957031 -0.24153253436088562012 0.54308903217315673828 -2.23029518127441406250 -0.24055737257003784180 -0.00111723900772631168
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.07500004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.07500004768371582031 116.00000000000000000000 0.55480408668518066406 -0.02623042091727256775 1.00045204162597656250 -2.36371421813964843750 -0.24073019623756408691 0.54311937093734741211 -2.23020076751708984375 -0.24058213829994201660 -0.00121926586143672466
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.10000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.10000002384185791016 116.00000000000000000000 0.54104143381118774414 -0.02642953395843505859 1.00045275688171386719 -2.34144711494445800781 -0.23963038623332977295 0.54313814640045166016 -2.23048114776611328125 -0.24058322608470916748 -0.00133611971978098154
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.12500000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.12500000000000000000 116.00000000000000000000 0.52791750431060791016 -0.02663014456629753113 1.00045311450958251953 -2.31338739395141601562 -0.23827879130840301514 0.54318517446517944336 -2.23059439659118652344 -0.24055683612823486328 -0.00145052629522979259
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.14999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.14999997615814208984 116.00000000000000000000 0.51642674207687377930 -0.02683471143245697021 1.00045549869537353516 -2.28166627883911132812 -0.23686872422695159912 0.54322642087936401367 -2.23084020614624023438 -0.24058252573013305664 -0.00158074579667299986
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.17499995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.17499995231628417969 116.00000000000000000000 0.50708329677581787109 -0.02704601548612117767 1.00045311450958251953 -2.24854063987731933594 -0.23566381633281707764 0.54326361417770385742 -2.23108315467834472656 -0.24056881666183471680 -0.00171344901900738478
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.20000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.20000004768371582031 116.00000000000000000000 0.49991732835769653320 -0.02726243250072002411 1.00045669078826904297 -2.21591114997863769531 -0.23480713367462158203 0.54330092668533325195 -2.23115730285644531250 -0.24058485031127929688 -0.00185547734145075083
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.22500002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.22500002384185791016 116.00000000000000000000 0.49485048651695251465 -0.02748045325279235840 1.00045645236968994141 -2.18524265289306640625 -0.23425675928592681885 0.54332792758941650391 -2.23135304450988769531 -0.24055378139019012451 -0.00200775149278342724
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.25000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.49200043082237243652 -0.02769785933196544647 1.00045573711395263672 -2.15768671035766601562 -0.23387613892555236816 0.54338854551315307617 -2.23144221305847167969 -0.24057908356189727783 -0.00216782162897288799
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.27499997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
