# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.01384041737765073776 0.01071299798786640167 1.00003099441528320312 -0.01163213141262531281 0.94546496868133544922 -0.00000533245065525989 0.00001788181543815881 0.94545215368270874023 -0.00405163457617163658
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.89999997615814208984 116.00000000000000000000 -0.02864619530737400055 0.01237724069505929947 1.00003015995025634766 0.05381255224347114563 0.94535690546035766602 -0.00000467787776869955 0.00001054213680617977 0.94534140825271606445 -0.00741336401551961899
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.00000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.00000000000000000000 116.00000000000000000000 -0.01281854975968599319 0.01299264281988143921 1.00002920627593994141 0.06285367161035537720 0.94532108306884765625 -0.00000079310365208585 0.00000376264983970032 0.94534057378768920898 -0.00827035680413246155
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.10000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.10000002384185791016 116.00000000000000000000 0.01839067786931991577 0.01370853837579488754 1.00003027915954589844 0.01630480587482452393 0.94532108306884765625 0.00000096678911631898 0.00000108494452888408 0.94535470008850097656 -0.00913701951503753662
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.20000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.20000004768371582031 116.00000000000000000000 0.03528343886137008667 0.01453592814505100250 1.00002992153167724609 -0.04640798643231391907 0.94529384374618530273 0.00000072736031597742 -0.00000098966620498686 0.94532996416091918945 -0.01000325195491313934
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.29999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.29999995231628417969 116.00000000000000000000 0.01901601068675518036 0.01548444852232933044 1.00002861022949218750 -0.07043784111738204956 0.94530647993087768555 -0.00000133746902974963 0.00000406941035180353 0.94531369209289550781 -0.01086601242423057556
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.39999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.39999997615814208984 116.00000000000000000000 -0.01864490099251270294 0.01657512970268726349 1.00002837181091308594 -0.03314169496297836304 0.94524699449539184570 0.00000032951083994703 0.00000155171096594131 0.94526594877243041992 -0.01171480864286422729
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.50000000000000000000 116.00000000000000000000 -0.04339912533760070801 0.01782051473855972290 1.00002884864807128906 0.03515807539224624634 0.94517081975936889648 0.00000060072636642872 -0.00000037588790746668 0.94524323940277099609 -0.01253918465226888657
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.60000002384185791016 116.00000000000000000000 -0.02925485372543334961 0.01923985593020915985 1.00002956390380859375 0.07586590945720672607 0.94526129961013793945 0.00000274302351499500 -0.00000722699860489229 0.94519931077957153320 -0.01332235336303710938
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.70000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.70000004768371582031 116.00000000000000000000 0.01551162637770175934 0.02085913345217704773 1.00002837181091308594 0.05210267379879951477 0.94518452882766723633 0.00000213130647352955 0.00000765200093155727 0.94517731666564941406 -0.01403938606381416321
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.79999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.79999995231628417969 116.00000000000000000000 0.05197735875844955444 0.02269070595502853394 1.00002920627593994141 -0.01835909485816955566 0.94496715068817138672 -0.00000349404422195221 0.00000178686536855821 0.94512993097305297852 -0.01465259678661823273
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.89999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.89999997615814208984 116.00000000000000000000 0.04446144402027130127 0.02476679533720016479 1.00002837181091308594 -0.07704694569110870361 0.94513922929763793945 0.00000552390474695130 -0.00000910416656552115 0.94507563114166259766 -0.01513262279331684113
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.00000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.00000000000000000000 116.00000000000000000000 -0.00594305107370018959 0.02707959339022636414 1.00002884864807128906 -0.07275246083736419678 0.94515877962112426758 0.00000052708543307745 0.00000722421782484162 0.94502675533294677734 -0.01541676837950944901
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.09999990463256835938 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.09999990463256835938 116.00000000000000000000 -0.05830632522702217102 0.02965443395078182220 1.00002884864807128906 -0.00598254986107349396 0.94468677043914794922 -0.00000495323502036626 -0.00000077861784575362 0.94494628906250000000 -0.01544134598225355148
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.20000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.20000004768371582031 116.00000000000000000000 -0.06472621858119964600 0.03247175738215446472 1.00002944469451904297 0.06974294036626815796 0.94483190774917602539 -0.00000503181399835739 0.00000375263175556029 0.94488710165023803711 -0.01511010248214006424
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.29999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.29999995231628417969 116.00000000000000000000 -0.01359874010086059570 0.03549054265022277832 1.00002837181091308594 0.09147761762142181396 0.94519925117492675781 -0.00000317324179377465 0.00000989040290733101 0.94481545686721801758 -0.01433752197772264481
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.40000009536743164062 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.40000009536743164062 116.00000000000000000000 0.05631886422634124756 0.03864799812436103821 1.00002861022949218750 0.03887975215911865234 0.94446438550949096680 -0.00000024107549734254 0.00000216369198824395 0.94472879171371459961 -0.01302362885326147079
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.50000000000000000000 116.00000000000000000000 0.08591152727603912354 0.04181865230202674866 1.00002932548522949219 -0.04778231307864189148 0.94416892528533935547 -0.00000969766733760480 0.00000670851886752644 0.94464135169982910156 -0.01106207817792892456
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.59999990463256835938 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.59999990463256835938 116.00000000000000000000 0.04532933607697486877 0.04486811533570289612 1.00002765655517578125 -0.09973252564668655396 0.94516485929489135742 0.00000703367140886257 -0.00001326898291154066 0.94455361366271972656 -0.00838371552526950836
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.70000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.70000004768371582031 116.00000000000000000000 -0.03717702254652976990 0.04754266142845153809 1.00002789497375488281 -0.07455459237098693848 0.94477331638336181641 0.00000385612884201691 0.00000647953856969252 0.94447320699691772461 -0.00498112523928284645
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.79999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.79999995231628417969 116.00000000000000000000 -0.09599351137876510620 0.04963013529777526855 1.00002849102020263672 0.00873317290097475052 0.94338661432266235352 0.00000547205809198203 -0.00000057691460142451 0.94440650939941406250 -0.00091467692982405424
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=2.90000009536743164062 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 2.90000009536743164062 116.00000000000000000000 -0.08118412643671035767 0.05093096569180488586 1.00002849102020263672 0.08538638800382614136 0.94429135322570800781 -0.00000844733767735306 0.00000847554383653915 0.94436138868331909180 0.00365743995644152164
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=3.00000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 3.00000000000000000000 116.00000000000000000000 -0.00095430249348282814 0.05127135291695594788 1.00002837181091308594 0.09631518274545669556 0.94549453258514404297 -0.00000027331182650414 0.00001784664527804125 0.94433110952377319336 0.00847037788480520248
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=3.09999990463256835938 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 3.09999990463256835938 116.00000000000000000000 0.08187305182218551636 0.05063937604427337646 1.00002789497375488281 0.03501611948013305664 0.94402825832366943359 -0.00000231444118981017 -0.00000313067653223698 0.94432765245437622070 0.01325416564941406250
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=3.20000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 3.20000004768371582031 116.00000000000000000000 0.10148922353982925415 0.04911681637167930603 1.00002849102020263672 -0.04923533648252487183 0.94327640533447265625 0.00001237413198396098 -0.00000922777599043911 0.94434630870819091797 0.01773589663207530975
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=3.29999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 3.29999995231628417969 116.00000000000000000000 0.04242220893502235413 0.04682457819581031799 1.00002896785736083984 -0.09136816859245300293 0.94494503736495971680 -0.00000842669305711752 0.00001093421815312468 0.94438755512237548828 0.02167013660073280334
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=3.40000009536743164062 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 3.40000009536743164062 116.00000000000000000000 -0.04806670546531677246 0.04400502145290374756 1.00002837181091308594 -0.06247264519333839417 0.94509261846542358398 0.00000394135213355185 0.00001022634751279838 0.94444316625595092773 0.02496673353016376495
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=3.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 3.50000000000000000000 116.00000000000000000000 -0.09749290347099304199 0.04090777412056922913 1.00002920627593994141 0.01061791554093360901 0.94374328851699829102 -0.00002966523788927589 0.00000589900309933000 0.94450873136520385742 0.02755436301231384277
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=3.59999990463256835938 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
